"|","|__name","Lasana_y_canelones"
"","Fideos orientales Yakisoba sabor soja Hacendado\nPaquete 90 g\n0,90 € /ud.",""
"","Fideos orientales sabor pollo Hacendado\nVaso 65 g\n0,95 €0,85 € /ud.",""
"","Fideos orientales sabor picante Hacendado\nVaso 65 g\n1,00 € /ud.",""
"Azucar","Azúcar blanco Hacendado\nPaquete 1 kg\n1,45 € /ud.",""
"","Azúcar blanco en sobres Hacendado\nCaja 50 sticks (350 g)\n1,55 € /ud.",""
"","Azúcar moreno de caña Hacendado\nPaquete 1 kg\n1,95 € /ud.",""
"","Azúcar moreno de caña en sobres Hacendado\nCaja 50 sobres (350 g)\n1,60 € /ud.",""
"","Panela azúcar moreno de caña integral Hacendado\nPaquete 500 g\n1,95 € /ud.",""
"","Azúcar glas Hacendado\nBote 500 g\n2,60 € /ud.",""
"Edulcorantes_y_otros","Edulcorante líquido sacarina Hacendado\nBote 150 ml\n0,85 € /ud.",""
"","Edulcorante en pastillas sacarina Hacendado\nBote 850 pastillas (52 g)\n1,15 € /ud.",""
"","Edulcorante en sobres sacarina Hacendado\nCaja 60 sobres (60 g)\n1,15 € /ud.",""
"","Sirope de agave Hacendado\nBote 350 g\n2,70 €2,60 € /ud.",""
"","Edulcorante líquido stevia Hacendado\nBote 150 ml\n2,05 € /ud.",""
"","Edulcorante granulado stevia Hacendado\nBote 200 g\n3,10 € /ud.",""
"","Edulcorante en pastillas stevia Hacendado\nBote 175 pastillas (9 g)\n1,85 € /ud.",""
"","Edulcorante en sobres stevia Hacendado\nCaja 54 sobres (54 g)\n2,00 € /ud.",""
"","Edulcorante Eritritol y Sucralosa Hacendado\nBote 200 g\n3,20 € /ud.",""
"Cereales","Cereales rellenos de leche Hacendado\nCaja 500 g\n2,60 €2,50 € /ud.",""
"","Mini cereales rellenos de leche Hacendado\nCaja 5 bolsitas (175 g)\n1,95 €1,90 € /ud.",""
"","Cereales rellenos de chocolate y avellana Hacendado\nPaquete 500 g\n2,15 €2,10 € /ud.",""
"","Cereales estrellas de maíz Stars Hacendado con miel\nCaja 400 g\n2,10 € /ud.",""
"","Cereales copos de maíz Corn Flakes Hacendado 0% azúcares añadidos\nCaja 500 g\n1,50 € /ud.",""
"","Cereales de arroz inflado Choco Rice Hacendado con chocolate\nCaja 500 g\n2,10 € /ud.",""
"","Cereales copos de maíz Corn Flakes Kellogg's\nCaja 500 g\n3,00 € /ud.",""
"","Cereales de arroz inflado Choco Krispies Kellogg's con chocolate\nCaja 420 g\n3,55 € /ud.",""
"","Cereales copos de trigo Chocodays Hacendado con chocolate\nCaja 500 g\n1,80 € /ud.",""
"","Cereales copos de maíz Corn Flakes Harvest Home sin gluten\nCaja 375 g\n2,59 € /ud.",""
"","Cereales rellenos de crema de cacao y avellana Hacendado sin gluten\nPaquete 400 g\n2,25 € /ud.",""
"Cereales_integrales_y_muesli","Copos de avena Brüggen\nCaja 500 g\n0,95 € /ud.",""
"","Cereales copos de trigo integral y arroz Special K Classic\nCaja 450 g\n3,25 € /ud.",""
"","Muesli Crunchy Hacendado con chocolate\nPaquete 500 g\n2,10 € /ud.",""
"","Cereales copos de trigo integral y arroz Hacendado 0% azúcares añadidos\nCaja 500 g\n2,05 €2,00 € /ud.",""
"","Cereales copos de trigo espelta integral Hacendado 0% azúcares añadidos\nPaquete 400 g\n1,75 €1,70 € /ud.",""
"","Cereales integrales copos de trigo Chocapic Nestlé con chocolate\nCaja 625 g\n3,95 €3,35 € /ud.",""
"","Muesli Crunchy Hacendado con frutos secos\nPaquete 500 g\n2,10 € /ud.",""
"","Muesli Crunchy Hacendado 0% azúcares añadidos 0% edulcorantes\nPaquete 500 g\n2,00 € /ud.",""
"","Cereales copos de trigo integral y arroz Hacendado bañados en chocolate con leche\nCaja 375 g\n2,35 € /ud.",""
"","Cereales copos tostados de trigo integral y arroz Hacendado con chocolate\nCaja 425 g\n2,00 € /ud.",""
"","Muesli Crunchy Hacendado con fruta\nPaquete 500 g\n2,10 € /ud.",""
"","Avena molida Hacendado\nPaquete 500 g\n1,11 € /ud.",""
"","Salvado de avena Hacendado\nPaquete 500 g\n1,65 € /ud.",""
"","Cereales y semillas granola Hacendado con frutos secos\nPaquete 400 g\n2,40 € /ud.",""
"","Cereales con salvado de trigo Fibra Sticks Hacendado\nCaja 500 g\n1,80 € /ud.",""
"","Muesli Hacendado con frutas\nPaquete 1 kg\n2,30 € /ud.",""
"","Muesli Hacendado 50% frutas y frutos secos\nPaquete 500 g\n1,95 € /ud.",""
"","Salvado de trigo integral Hacendado\nPaquete 250 g\n1,35 € /ud.",""
"","Muesli Hacendado con quinoa, chía y chocolate negro\nPaquete 400 g\n2,25 € /ud.",""
"","Cereales Cereal Mix Hacendado 0% azúcares añadidos\nPaquete 375 g\n2,40 € /ud.",""
"","Cereales avena Crunchy Hacendado\nCaja 400 g\n2,00 €1,90 € /ud.",""
"","Copos crujientes de cereales Granola Hacendado con trozos de fresas\nPaquete 400 g\n2,40 € /ud.",""
"","Cereales avena Crunchy Hacendado de cacao\nCaja 400 g\n2,15 € /ud.",""
"Barritas_de_cereales","Barritas de cereales Hacendado chocolate con leche\nCaja 6 barritas (120 g)\n1,40 € /ud.",""
"","Barritas de cereales Hacendado con chocolate blanco\nCaja 6 barritas (127 g)\n1,30 € /ud.",""
"","Barritas de cereales muesli Hacendado con chocolate\nCaja 6 barritas (138 g)\n1,40 € /ud.",""
"","Barritas de cereales con frutos secos Hacendado\nCaja 6 barritas (150 g)\n1,65 € /ud.",""
"","Barritas Sustitutivo de comida Belladieta sabor avena y chocolate con leche\nCaja 4 barritas (120 g)\n3,10 € /ud.",""
"","Barritas con proteínas Enervit Sport sabor coco y chocolate\nCaja 3 barritas (120 g)\n3,15 €2,75 € /ud.",""
"","Barrita con proteínas Enervit Sport sabor chocolate negro\nCaja 3 barritas (180 g)\n4,90 € /ud.",""
"","Barritas de espelta Hacendado sabor manzana\nCaja 6 barritas (120 g)\n1,50 € /ud.",""
"","Barritas de avena Hacendado con chocolate negro\nCaja 6 paquetes (252 g)\n2,35 € /ud.",""
"","Barritas de galleta rellenas de arándanos Hacendado\nCaja 5 barritas (125 g)\n1,50 € /ud.",""
"","Barritas 100% fruta de manzana y plátano Hacendado\nCaja 3 barritas (90 g)\n1,75 € /ud.",""
"","Barritas de cereales Hacendado con cacahuetes sabor caramelo\nCaja 4 barritas (138 g)\n1,70 € /ud.",""
"Galletas_desayuno","Galletas María dorada Hacendado\nPaquete 4 ud. (800 g)\n1,60 €1,55 € /ud.",""
"","Galletas Divertidas con cereales Hacendado\nCaja 10 paquetes (411 g)\n2,15 €2,05 € /ud.",""
