Categoría,Nombre,Cantidad,Suma de Precio Inicio(€),Suma de Precio Oferta(€),Cantidad del precio,Supermercado,Fecha
Hierbas_aromaticas,Cebollino,Bandeja 20 g,1.8,,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales avena Crunchy Hacendado,Caja 400 g,2,1.9,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales avena Crunchy Hacendado de cacao,Caja 400 g,2.15,,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales Cereal Mix Hacendado 0% azúcares añadidos,Paquete 375 g,2.4,,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales con salvado de trigo Fibra Sticks Hacendado,Caja 500 g,1.8,,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales copos de maíz Corn Flakes Hacendado 0% azúcares añadidos,Caja 500 g,1.5,,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales copos de maíz Corn Flakes Harvest Home sin gluten,Caja 375 g,2.59,,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales copos de maíz Corn Flakes Kellogg's,Caja 500 g,3,,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales copos de trigo Chocodays Hacendado con chocolate,Caja 500 g,1.8,,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales copos de trigo espelta integral Hacendado 0% azúcares añadidos,Paquete 400 g,1.75,1.7,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales copos de trigo integral y arroz Hacendado 0% azúcares añadidos,Caja 500 g,2.05,2,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales copos de trigo integral y arroz Hacendado bañados en chocolate con leche,Caja 375 g,2.35,,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales copos de trigo integral y arroz Special K Classic,Caja 450 g,3.25,,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales copos tostados de trigo integral y arroz Hacendado con chocolate,Caja 425 g,2,,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales de arroz inflado Choco Krispies Kellogg's con chocolate,Caja 420 g,3.55,,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales de arroz inflado Choco Rice Hacendado con chocolate,Caja 500 g,2.1,,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales estrellas de maíz Stars Hacendado con miel,Caja 400 g,2.1,,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales integrales copos de trigo Chocapic Nestlé con chocolate,Caja 625 g,3.95,3.35,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales rellenos de chocolate y avellana Hacendado,Paquete 500 g,2.15,2.1,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales rellenos de crema de cacao y avellana Hacendado sin gluten,Paquete 400 g,2.25,,ud.,Mercadona,2024-03-11 00:00:00
Cereales,Cereales rellenos de leche Hacendado,Caja 500 g,2.6,2.5,ud.,Mercadona,2024-03-11 00:00:00
Cereales_integrales_y_muesli,Cereales y semillas granola Hacendado con frutos secos,Paquete 400 g,2.4,,ud.,Mercadona,2024-03-11 00:00:00
